device_id,browser_type,os_type,device_type
-1988122167,Screaming Frog SEO Spider,Other,Spider
-1987655619,Mobile Safari UI/WKWebView,iOS,iPhone
-1987039323,Firefox,Mac OS X,Other
-1986726760,Firefox,Other,Other
-1986437347,Safari,Mac OS X,Other
-1986426837,Chrome Mobile,Android,XiaoMi Redmi 5
-1985153787,Chrome,Windows,Other
-1984416765,Firefox,Linux,Other
-1983751288,Chrome Mobile,Android,HTC U11
-1982839312,Samsung Internet,Android,Samsung SM-A125U1
-1982514306,Samsung Internet,Android,Samsung SM-G996U
-1981173950,Firefox,Windows,Other
-1980557064,Chrome,Linux,Other
-1980204880,Firefox iOS,iOS,iPhone
-1979459420,Samsung Internet,Android,Samsung SM-S908B
-1979098203,Chrome Mobile WebView,Android,Samsung SM-A105FN
-1978187837,Chrome,Mac OS X,Other
-1977981750,Chrome,Windows,Other
-1977744509,Chrome,Android,Generic Smartphone
-1977081633,Chrome,Mac OS X,Other
-1976967278,Chrome Mobile WebView,Android,Samsung SM-M426B
-1976616444,Chrome Mobile,Android,XiaoMi Redmi 4A
-1975172881,Chrome,Chrome OS,Other
-1972030988,Chrome,Mac OS X,Other
-1971655277,Python Requests,Other,Other
-1971036004,Chrome Mobile iOS,iOS,iPhone
-1970873694,Chrome Mobile WebView,Android,Samsung SM-G990U
-1968961236,Samsung Internet,Android,Samsung SM-G977N
-1967611601,Chrome Mobile iOS,iOS,iPhone
-1967028254,Samsung Internet,Android,Samsung SM-G970W
-1966977974,Samsung Internet,Android,Samsung SM-A127F
-1966701924,Chrome Mobile WebView,Android,Samsung SM-S916B
-1966696197,Firefox,Windows,Other
-1966337557,Chrome Mobile WebView,Android,XiaoMi MI 9
-1966227845,Facebook,Android,Pixel 5
-1966030287,Samsung Internet,Android,Samsung SM-M515F
-1965999533,WeChatShareExtensionNew,Other,iOS-Device
-1964926886,Chrome,Windows,Other
-1964300224,Mobile Safari UI/WKWebView,iOS,iPhone
-1963622270,Chrome,Windows,Other
-1962190513,Chrome Mobile,Android,Generic Smartphone
-1959976105,Samsung Internet,Android,Generic Smartphone
-1959202475,Samsung Internet,Android,Samsung SM-G991U
-1959155318,Mobile Safari UI/WKWebView,iOS,iPhone
-1956806687,Samsung Internet,Android,Samsung SM-J730G
-1956718684,Samsung Internet,Android,Samsung SM-A705GM
-1955641447,Chrome Mobile WebView,Android,TECNO $2
-1955377681,okhttp,Other,Other
-1954897932,Mobile Safari,iOS,iPhone
-1954248253,Facebook,Android,Samsung SM-A025F
-1954136447,okhttp,Other,Other
-1952667288,Samsung Internet,Android,Samsung SM-S908E
-1951302520,Samsung Internet,Android,Samsung SM-G988B
-1951172704,Chrome,Android,Samsung GT-P5113 
-1950907388,Chrome Mobile WebView,Android,Samsung SM-G965U
-1950685828,Chrome,Windows,Other
-1950278927,Mobile Safari UI/WKWebView,iOS,iPhone
-1948463390,Chrome Mobile,Android,Nokia undefined$2$3
-1948118016,Mobile Safari,iOS,iPhone
-1946056859,Chrome Mobile WebView,Android,Generic Smartphone
-1945935016,Chrome Mobile WebView,Android,VOG-L09
-1945265526,Chrome Mobile,Android,Nexus 5
-1944118879,Chrome Mobile iOS,iOS,iPhone
-1943267133,Chrome,Windows,Other
-1941989799,Chrome Mobile,Android,Generic Smartphone
-1941878815,Chrome Mobile iOS,iOS,iPad
-1941578455,Safari,Windows,Other
-1941352892,Firefox,Ubuntu,Other
-1941000543,Firefox,Linux,Other
-1940781641,Chrome,Mac OS X,Other
-1940349969,Firefox,Windows,Other
-1940298943,Chrome Mobile WebView,Android,Samsung SM-G988B
-1940277220,Firefox iOS,iOS,iPhone
-1940093107,Safari,Android,Samsung SM-G996U
-1939401025,Safari,Mac OS X,Other
-1937816343,Chrome Mobile WebView,Android,Infinix $2
-1936558513,Chrome Mobile WebView,Android,Samsung SM-G990E
-1935598465,Firefox,Windows,Other
-1933573311,Safari,Mac OS X,Other
-1933277321,Chrome Mobile iOS,iOS,iPad
-1932808096,Chrome Mobile WebView,Android,vivo $2
-1932756462,Chrome Mobile iOS,iOS,iPhone
-1932384686,Chrome Mobile WebView,Android,Samsung SM-M315F
-1930156531,Chrome,Linux,Other
-1929332370,Chrome,Mac OS X,Other
-1927530281,Samsung Internet,Android,Samsung SM-M515F
-1927030074,Firefox,Windows,Other
-1926605440,Chrome,Mac OS X,Other
-1923771353,Chrome,Mac OS X,Other
-1923289251,Chrome Mobile WebView,Android,Samsung SM-G998U
-1921993367,Chrome Mobile WebView,Android,Samsung SM-N980F
-1921958208,Mobile Safari,iOS,iPhone
-1921278985,Chrome Mobile WebView,Android,Samsung SM-G970U
-1920699930,Chrome,Windows,Other
-1920337528,Mobile Safari UI/WKWebView,iOS,iPhone
-1919792809,Slackbot-LinkExpanding,Other,Spider
-1917478573,Samsung Internet,Android,Samsung SM-A047F
-1917417280,Mobile Safari UI/WKWebView,iOS,iPhone
-1916760899,Chrome Mobile iOS,iOS,iPhone
-1915819180,Chrome Mobile WebView,Android,vivo $2
-1915324947,Chrome,Windows,Other
-1915276335,Chrome Mobile iOS,iOS,iPhone
-1914640328,WhatsApp,Other,Spider
-1913845350,Samsung Internet,Android,Samsung SM-G781W
-1913558214,Mobile Safari UI/WKWebView,iOS,iPhone
-1912206332,Firefox,Windows,Other
-1912067127,Chrome Mobile WebView,Android,Infinix $2
-1911423839,Samsung Internet,Android,Samsung SM-M336BU
-1910225280,Chrome,Windows,Other
-1909048810,Firefox,Ubuntu,Other
-1908417418,Jooblebot,Windows,Spider
-1908345680,Firefox Mobile,Android,Generic Smartphone
-1907628329,Chrome,Windows,Other
-1907319075,Chrome Mobile,Android,Nexus 5
-1905411316,Chrome Mobile,Android,Gionee S12
-1904996893,Chrome,Mac OS X,Other
-1904844006,Mobile Safari,iOS,iPhone
-1904160080,Opera,Mac OS X,Other
-1903653812,Chrome,Mac OS X,Other
-1903419839,Chrome Mobile WebView,Android,XiaoMi Redmi Note 6 Pro
-1903383705,Chrome Mobile WebView,Android,Samsung SM-A336E
-1902487281,Chrome,Mac OS X,Other
-1901888617,Chrome,Mac OS X,Other
-1900950618,Samsung Internet,Android,Samsung SM-A505F
-1900595648,Chrome Mobile WebView,Android,XiaoMi Redmi Y2
-1900257730,Firefox Mobile,Android,Generic Smartphone
-1899267650,Chrome Mobile WebView,Android,Samsung SM-S918B
-1899053090,Chrome Mobile WebView,Android,Samsung SM-G975F
-1899003769,Chrome Mobile WebView,Android,COL-L29
-1898575885,Chrome,Mac OS X,Other
-1897045956,Mobile Safari UI/WKWebView,iOS,iPad
-1895605607,Mobile Safari UI/WKWebView,iOS,iPhone
-1894773659,Chrome,Windows,Other
-1893334816,Samsung Internet,Android,Samsung SM-M215F
-1892192129,Chrome Mobile WebView,Android,Samsung SM-F936U
-1891998843,Firefox,Mac OS X,Other
-1891204138,Facebook,iOS,iPhone
-1891182218,Chrome Mobile WebView,Android,Samsung SM-G9650
-1891002232,Chrome,Mac OS X,Other
-1887390641,Chrome Mobile WebView,Android,JKM-LX1
-1886724867,Chrome,Mac OS X,Other
-1886487253,Firefox,Windows,Other
-1886054848,Chrome Mobile WebView,Android,LYA-L0C
-1885737637,Chrome Mobile iOS,iOS,iPhone
-1885613940,Chrome,Windows,Other
-1885265856,Samsung Internet,Android,Samsung SM-G715U1
-1885164385,Chrome,Mac OS X,Other
-1884683705,Chrome Mobile,Android,Nokia undefined$2$3
-1884370021,Chrome Mobile WebView,Android,XiaoMi Redmi Note 8
-1884205422,Chrome Mobile WebView,Android,Samsung SM-G970W
-1884092646,Canary-iOS,Other,iOS-Device
-1883465659,Googlebot,Android,Spider
-1882866610,Samsung Internet,Android,Samsung SM-P619
-1882763262,Chrome,Mac OS X,Other
-1882660245,Chrome,Linux,Other
-1882206725,Chrome Mobile WebView,Android,STK-L21
-1881942637,Facebook,Android,Generic Smartphone
-1881756717,Chrome Mobile WebView,Android,Samsung SM-G998U1
-1879827329,Edge,Windows,Other
-1879311075,Mobile Safari UI/WKWebView,iOS,iPad
-1878951950,Chrome Mobile WebView,Android,Samsung SM-A115M
-1878654244,Firefox iOS,iOS,iPhone
-1878180556,Chrome Mobile WebView,Android,Samsung SM-M317F
-1877148471,Samsung Internet,Android,Samsung SM-M136B
-1875607041,Chrome Mobile WebView,Android,Samsung SM-S906U1
-1874898339,Mobile Safari UI/WKWebView,Other,iPhone
-1874169016,Mobile Safari UI/WKWebView,iOS,iPhone
-1871634642,Chrome,Windows,Other
-1871387849,Chrome Mobile WebView,Android,Generic Smartphone
-1870493097,Samsung Internet,Android,Samsung $2
-1870341048,UC Browser,Android,XiaoMi HM NOTE 1W
-1870024710,Chrome Mobile,Android,Generic Smartphone
-1868537014,Samsung Internet,Android,Samsung SM-A236E
-1868293625,Chrome,Windows,Other
-1867688486,Chrome,Windows,Other
-1866812730,Chrome Mobile WebView,Android,Samsung SM-M315F
-1866222586,Chrome Mobile,Android,LG-$2
-1865934335,Chrome,Linux,Other
-1865839640,Mobile Safari UI/WKWebView,iOS,iPhone
-1865802470,Samsung Internet,Android,Samsung SM-G998U
-1865348742,Chrome Mobile WebView,Android,Samsung SM-M346B
-1864981968,Firefox,Windows,Other
-1864834382,Firefox Mobile,Android,Generic Smartphone
-1864509280,Chrome,Windows,Other
-1864436943,Samsung Internet,Android,Samsung SM-S918B
-1861890442,Chrome Mobile WebView,Android,Nexus 5X
-1861362530,Chrome Mobile WebView,Android,Samsung SM-G960U
-1861128055,Chrome Mobile,Android,EML-L29
-1860941865,Chrome Mobile WebView,Android,Pixel 4
-1860695837,Firefox,Mac OS X,Other
-1860584599,Chrome,Mac OS X,Other
-1860433225,Opera,Windows,Other
-1858996161,Chrome Mobile WebView,Android,Samsung SM-F731B
-1858819995,Firefox,Mac OS X,Other
-1857548508,Chrome,Mac OS X,Other
-1857365993,Chrome Mobile WebView,Android,XiaoMi Redmi Note 8
-1856943130,Chrome Mobile,Android,Nexus 5
-1856496160,Yandex Browser,Android,Generic Smartphone
-1856182041,Mobile Safari,iOS,iPad
-1854268062,Chrome Mobile iOS,iOS,iPhone
-1853138905,Facebook,Mac OS X,Other
-1852283715,Chrome,Android,Generic Smartphone
-1851754636,Safari,Mac OS X,Other
-1851481336,Safari,Windows,Other
-1850036103,Chrome Mobile WebView,Android,Generic Smartphone
-1849902651,Mobile Safari UI/WKWebView,iOS,iPhone
-1849769556,Samsung Internet,Android,Samsung SM-A715W
-1848901777,Chrome Mobile WebView,Android,Pixel 3
-1848544674,Facebook,Android,Samsung SM-N950U
-1848251464,Facebook,iOS,iPhone
-1847304033,Chrome Mobile,Android,Samsung SM-N976B
-1847184653,Mobile Safari UI/WKWebView,iOS,iPhone
-1846227062,Chrome Mobile,Android,Generic Smartphone
-1845248092,Facebook,Android,Samsung SM-G981U
-1843879639,Chrome,Linux,Other
-1842861143,Chrome,Windows,Other
-1842041412,Chrome Mobile WebView,Android,Samsung SM-S901B
-1841822123,Spark,Other,iOS-Device
-1841701662,Samsung Internet,Android,Samsung SM-G973F
-1841186762,Chrome Mobile,Android,ALCATEL ONE TOUCH 7047A
-1840682169,Chrome Mobile WebView,Android,Samsung SM-G780F
-1839658653,Mobile Safari,iOS,iPhone
-1839485552,Chrome Mobile WebView,Android,Samsung SM-M215F
-1839383585,domainsbot,Other,Spider
-1838505482,Chrome Mobile WebView,Android,MAR-LX3A
-1837267912,Chrome Mobile,Android,Generic Smartphone
-1836709681,Chrome Mobile,Android,Generic Smartphone
-1836225122,Chrome,Mac OS X,Other
-1836033205,Chrome,Android,Asus Nexus 10
-1836005016,Chrome Mobile iOS,iOS,iPad
-1834225522,Firefox,Linux,Other
-1833755854,Samsung Internet,Android,Samsung SM-G986W
-1832492142,Chrome Mobile WebView,Android,XiaoMi Redmi Note 8
-1832401396,Samsung Internet,Android,Samsung SM-F936B
-1831818537,Safari,Mac OS X,Other
-1831706002,Chrome Mobile WebView,Android,XiaoMi Redmi Note 9 Pro
-1830594021,Chrome,Linux,Other
-1830546336,Chrome Mobile iOS,iOS,iPhone
-1830386508,Samsung Internet,Android,Samsung SM-M127G
-1830263108,Chrome Mobile,Android,Generic Smartphone
-1830082779,msnbot,Other,Spider
-1829546286,Safari,Mac OS X,Other
-1826934224,Chrome Mobile WebView,Android,Pixel 7a
-1826461749,Chrome,Windows,Other
-1825315308,Chrome,Mac OS X,Other
-1824632721,Chrome Mobile WebView,Android,Samsung SM-S918U1
-1823672304,Samsung Internet,Android,Samsung $2
-1823107752,Facebook,iOS,iPhone
-1823061115,Chrome,Android,Generic Smartphone
-1822744886,Firefox,Mac OS X,Other
-1822577001,Chrome Mobile iOS,iOS,iPhone
-1821832067,Chrome Mobile WebView,Android,Samsung SM-G996B
-1821420400,Chrome Mobile WebView,Android,Samsung SM-G975N
-1821270959,Chrome,Windows,Other
-1820775393,Chrome Mobile WebView,Android,Samsung SM-N975U
-1819523010,Firefox,Ubuntu,Other
-1819409716,Chrome,Mac OS X,Other
-1819235398,Firefox Mobile,Android,Generic Smartphone
-1817936799,Mobile Safari UI/WKWebView,iOS,iPhone
-1814425607,Mobile Safari UI/WKWebView,iOS,iPhone
-1814192229,Chrome Mobile,Android,Generic Smartphone
-1813506564,Firefox,Windows,Other
-1810802806,Chrome Mobile WebView,Android,CDY-NX9B
-1808725968,Facebook,iOS,iPhone
-1808294386,Chrome Mobile WebView,Android,XiaoMi Redmi Note 7 Pro
-1806162861,Samsung Internet,Android,Samsung SM-G780G
-1806089813,Firefox,Linux,Other
-1805584679,Chrome,Mac OS X,Other
-1803256090,Opera Mobile,Android,Generic Smartphone
-1802558822,Facebook,iOS,iPhone
-1802149720,Chrome,Windows,Other
-1802141980,Samsung Internet,Android,Samsung SM-A127M
-1801952557,Chrome Mobile WebView,Android,Samsung SM-M127F
-1801657237,Firefox,Windows,Other
-1801524343,Python-urllib,Other,Spider
-1800577187,Samsung Internet,Android,Samsung SM-A526B
-1799137387,Mobile Safari UI/WKWebView,iOS,iPhone
-1798190827,Chrome Mobile,Android,XiaoMi Redmi Note 8
-1798138912,Chrome Mobile WebView,Android,Samsung SM-M215F
-1798105993,Chrome,Mac OS X,Other
-1797498944,Chrome,Windows,Other
-1796796015,Chrome Mobile,Android,XiaoMi Redmi Note 7 Pro
-1795978879,DotBot,Other,Spider
-1795736932,Chrome Mobile WebView,Android,Samsung SM-G998U
-1795279853,Chrome Mobile,Android,Generic Smartphone
-1794685298,Chrome Mobile WebView,Android,Samsung SM-N970U
-1793707077,Chrome Mobile WebView,Android,Generic Smartphone
-1793183873,Mobile Safari UI/WKWebView,iOS,iPhone
-1793155195,Facebook,Android,vivo $2
-1793033483,Chrome,Windows,Other
-1792620341,Chrome,Windows,Other
-1792549997,Mobile Safari,iOS,iPhone
-1792443131,Chrome Mobile WebView,Android,MAR-LX1A
-1792123115,Chrome Mobile iOS,iOS,iPhone
-1791633214,Mobile Safari UI/WKWebView,iOS,iPhone
-1791306364,Facebook,iOS,iPhone
-1791296049,Chrome,Windows,Other
-1790882288,Chrome,Mac OS X,Other
-1790393198,Chrome,OpenBSD,Other
-1788184030,Chrome,Mac OS X,Other
-1787964943,Chrome,Windows,Other
-1787909692,Firefox iOS,iOS,iPhone
-1786148911,Chrome,Windows,Other
-1786136106,Safari,Mac OS X,Other
-1786009644,Chrome,Windows,Other
-1785151109,Chrome,Mac OS X,Other
-1784457508,Samsung Internet,Android,Samsung SM-A736B
-1783195519,Opera,Windows,Other
-1782974730,Chrome Mobile,Android,Generic Smartphone
-1782201801,Chrome,Windows,Other
-1782195306,Chrome Mobile WebView,Android,Samsung SM-A115F
-1781479928,Chrome,Linux,Other
-1780231149,Chrome,Mac OS X,Other
-1779575882,Mobile Safari,iOS,iPhone
-1779560580,Chrome Mobile WebView,Android,Samsung SM-E146B
-1778925263,Chrome Mobile,Android,Nokia undefined$2$3
-1777729664,Internet-structure-research-project-bot,Other,Spider
-1777480046,Chrome,Linux,Other
-1777371447,Samsung Internet,Android,Samsung SM-G9650
-1777038615,Firefox,Mac OS X,Other
-1776857139,Chrome Mobile iOS,iOS,iPhone
-1776719020,Mobile Safari UI/WKWebView,iOS,iPhone
-1776307589,Nokia Browser,Symbian^3,Nokia undefined$2$3
-1774666520,Firefox,Windows,Other
-1773614459,Samsung Internet,Android,Samsung SM-G9900
-1773509289,Chrome Mobile WebView,Android,Samsung SM-G975U
-1773180548,Chrome Mobile iOS,iOS,iPhone
-1773042937,Samsung Internet,Android,Samsung SM-G960U
-1772905304,Chrome,Linux,Other
-1772202084,Samsung Internet,Android,Samsung SM-A505FN
-1771441204,Chrome,Android,Asus Nexus 10
-1770495107,Firefox Mobile,Android,Generic Smartphone
-1768374956,Samsung Internet,Android,Samsung SM-A505F
-1767483351,Mobile Safari UI/WKWebView,iOS,iPhone
